,ISBN,bookAuthor,author_gender,birthplace
39960,811202291,William Carlos Williams,male, United States    
39961,811212831,William Carlos Williams,male, United States    
39962,811202305,William Carlos Williams,male, United States    
39963,051762639X,Anthony Trollope,male, United Kingdom    
39965,048640076X,Anthony Trollope,male, United Kingdom    
39967,192834320,Anthony Trollope,male, United Kingdom    
39969,192815857,Anthony Trollope,male, United Kingdom    
39971,1853260878,Anthony Trollope,male, United Kingdom    
39973,486238245,Anthony Trollope,male, United Kingdom    
39975,192815067,Anthony Trollope,male, United Kingdom    
39977,140620311,Anthony Trollope,male, United Kingdom    
39979,140433929,Anthony Trollope,male, United Kingdom    
39981,192815458,Anthony Trollope,male, United Kingdom    
39983,019283469X,Anthony Trollope,male, United Kingdom    
39985,679405879,Anthony Trollope,male, United Kingdom    
39987,140063943,Anthony Trollope,male, United Kingdom    
39989,140621776,Anthony Trollope,male, United Kingdom    
39991,1853262552,Anthony Trollope,male, United Kingdom    
39993,1853260894,Anthony Trollope,male, United Kingdom    
39995,192835386,Anthony Trollope,male, United Kingdom    
39997,019281673X,Anthony Trollope,male, United Kingdom    
39999,192829882,Anthony Trollope,male, United Kingdom    
40001,192811444,Anthony Trollope,male, United Kingdom    
40003,140432035,Anthony Trollope,male, United Kingdom    
40005,486239306,Anthony Trollope,male, United Kingdom    
40007,140430415,Anthony Trollope,male, United Kingdom    
40009,486240991,Anthony Trollope,male, United Kingdom    
40011,1853262315,Anthony Trollope,male, United Kingdom    
40013,140433449,Anthony Trollope,male, United Kingdom    
40015,1854873709,Anthony Trollope,male, United Kingdom    
40017,192815865,Anthony Trollope,male, United Kingdom    
40019,192817132,Anthony Trollope,male, United Kingdom    
40021,192815075,Anthony Trollope,male, United Kingdom    
40023,192821342,Anthony Trollope,male, United Kingdom    
40025,140620214,Anthony Trollope,male, United Kingdom    
40027,140438033,Anthony Trollope,male, United Kingdom    
40029,140438041,Anthony Trollope,male, United Kingdom    
40031,140438068,Anthony Trollope,male, United Kingdom    
40033,192817256,Anthony Trollope,male, United Kingdom    
40035,192815873,Anthony Trollope,male, United Kingdom    
40037,019281544X,Anthony Trollope,male, United Kingdom    
40039,019282645X,Anthony Trollope,male, United Kingdom    
40041,192818465,Anthony Trollope,male, United Kingdom    
40043,019281589X,Anthony Trollope,male, United Kingdom    
40045,140432132,Anthony Trollope,male, United Kingdom    
40047,486252019,Anthony Trollope,male, United Kingdom    
40049,192815520,Anthony Trollope,male, United Kingdom    
40051,1853262234,Anthony Trollope,male, United Kingdom    
40053,192834088,Anthony Trollope,male, United Kingdom    
40055,192834665,Anthony Trollope,male, United Kingdom    
40057,185326282X,Anthony Trollope,male, United Kingdom    
40059,486249530,Anthony Trollope,male, United Kingdom    
40061,451518810,Anthony Trollope,male, United Kingdom    
40063,312278586,Emma McLaughlin,male, United States  
40066,312291639,Emma McLaughlin,male, United States  
40069,553714759,Emma McLaughlin,male, United States  
40072,2226134034,Emma McLaughlin,male, United States  
40075,887641486X,Elena Ferrante,female,  Italy  
40077,887641486x,Elena Ferrante,female,  Italy  
40079,515118656,Catherine Coulter,male,   United States  
40080,515134368,Catherine Coulter,male,   United States  
40081,515122491,Catherine Coulter,male,   United States  
40082,451198506,Catherine Coulter,male,   United States  
40083,451188616,Catherine Coulter,male,   United States  
40084,515128600,Catherine Coulter,male,   United States  
40085,515125628,Catherine Coulter,male,   United States  
40086,051513225X,Catherine Coulter,male,   United States  
40087,515129933,Catherine Coulter,male,   United States  
40088,051512088X,Catherine Coulter,male,   United States  
40089,451402065,Catherine Coulter,male,   United States  
40090,515133302,Catherine Coulter,male,   United States  
40091,380756234,Catherine Coulter,male,   United States  
40092,515136549,Catherine Coulter,male,   United States  
40093,451402049,Catherine Coulter,male,   United States  
40094,515130966,Catherine Coulter,male,   United States  
40095,515111317,Catherine Coulter,male,   United States  
40096,451199685,Catherine Coulter,male,   United States  
40097,451404327,Catherine Coulter,male,   United States  
40098,451402383,Catherine Coulter,male,   United States  
40099,451402340,Catherine Coulter,male,   United States  
40100,451204301,Catherine Coulter,male,   United States  
40101,399148779,Catherine Coulter,male,   United States  
40102,451406176,Catherine Coulter,male,   United States  
40103,451408845,Catherine Coulter,male,   United States  
40104,038075620X,Catherine Coulter,male,   United States  
40105,515107662,Catherine Coulter,male,   United States  
40106,451408772,Catherine Coulter,male,   United States  
40107,515127213,Catherine Coulter,male,   United States  
40108,451202317,Catherine Coulter,male,   United States  
40109,783814976,Catherine Coulter,male,   United States  
40110,515113514,Catherine Coulter,male,   United States  
40111,373482604,Catherine Coulter,male,   United States  
40112,451402502,Catherine Coulter,male,   United States  
40113,451200268,Catherine Coulter,male,   United States  
40114,380756218,Catherine Coulter,male,   United States  
40115,399143955,Catherine Coulter,male,   United States  
40116,451407091,Catherine Coulter,male,   United States  
40117,515135739,Catherine Coulter,male,   United States  
40118,739423738,Catherine Coulter,male,   United States  
40119,399142649,Catherine Coulter,male,   United States  
40120,399150560,Catherine Coulter,male,   United States  
40121,399147381,Catherine Coulter,male,   United States  
40122,515115843,Catherine Coulter,male,   United States  
40123,399145060,Catherine Coulter,male,   United States  
40124,451401271,Catherine Coulter,male,   United States  
40125,451408705,Catherine Coulter,male,   United States  
40126,451158814,Catherine Coulter,male,   United States  
40127,451141989,Catherine Coulter,male,   United States  
40128,515112305,Catherine Coulter,male,   United States  
40129,515109746,Catherine Coulter,male,   United States  
40130,451404467,Catherine Coulter,male,   United States  
40131,373482590,Catherine Coulter,male,   United States  
40132,399146164,Catherine Coulter,male,   United States  
40133,399137785,Catherine Coulter,male,   United States  
40134,451210700,Catherine Coulter,male,   United States  
40135,515116246,Catherine Coulter,male,   United States  
40136,451400909,Catherine Coulter,male,   United States  
40137,451203844,Catherine Coulter,male,   United States  
40138,515124206,Catherine Coulter,male,   United States  
40139,515114499,Catherine Coulter,male,   United States  
40140,1551665131,Catherine Coulter,male,   United States  
40141,451162544,Catherine Coulter,male,   United States  
40142,451400860,Catherine Coulter,male,   United States  
40143,451158636,Catherine Coulter,male,   United States  
40144,1551664437,Catherine Coulter,male,   United States  
40145,515118362,Catherine Coulter,male,   United States  
40146,451162269,Catherine Coulter,male,   United States  
40147,451163354,Catherine Coulter,male,   United States  
40148,451163621,Catherine Coulter,male,   United States  
40149,515120448,Catherine Coulter,male,   United States  
40150,451408586,Catherine Coulter,male,   United States  
40151,451405919,Catherine Coulter,male,   United States  
40152,451206487,Catherine Coulter,male,   United States  
40153,399138781,Catherine Coulter,male,   United States  
40154,039914143X,Catherine Coulter,male,   United States  
40155,515137200,Catherine Coulter,male,   United States  
40156,1587885263,Catherine Coulter,male,   United States  
40157,451400879,Catherine Coulter,male,   United States  
40158,525933972,Catherine Coulter,male,   United States  
40159,451162714,Catherine Coulter,male,   United States  
40160,451407946,Catherine Coulter,male,   United States  
40161,399139702,Catherine Coulter,male,   United States  
40162,451402626,Catherine Coulter,male,   United States  
40163,1551664720,Catherine Coulter,male,   United States  
40164,451206827,Catherine Coulter,male,   United States  
40165,451403398,Catherine Coulter,male,   United States  
40166,399151877,Catherine Coulter,male,   United States  
40167,399150862,Catherine Coulter,male,   United States  
40168,451209273,Catherine Coulter,male,   United States  
40169,451400348,Catherine Coulter,male,   United States  
40170,373482612,Catherine Coulter,male,   United States  
40171,451135628,Catherine Coulter,male,   United States  
40172,451400577,Catherine Coulter,male,   United States  
40173,451206398,Catherine Coulter,male,   United States  
40174,451206126,Catherine Coulter,male,   United States  
40175,451161769,Catherine Coulter,male,   United States  
40176,451404475,Catherine Coulter,male,   United States  
40177,451142004,Catherine Coulter,male,   United States  
40178,399147608,Catherine Coulter,male,   United States  
40179,739420267,Catherine Coulter,male,   United States  
40180,1567404308,Catherine Coulter,male,   United States  
40181,739411144,Catherine Coulter,male,   United States  
40182,399140948,Catherine Coulter,male,   United States  
40183,399145192,Catherine Coulter,male,   United States  
40184,1590865774,Catherine Coulter,male,   United States  
40185,155166108X,Catherine Coulter,male,   United States  
40186,451404483,Catherine Coulter,male,   United States  
40187,451156943,Catherine Coulter,male,   United States  
40188,451400135,Catherine Coulter,male,   United States  
40189,3442356644,Catherine Coulter,male,   United States  
40190,451140001,Catherine Coulter,male,   United States  
40191,451206630,Catherine Coulter,male,   United States  
40192,399146385,Catherine Coulter,male,   United States  
40193,1587880776,Catherine Coulter,male,   United States  
40194,451141997,Catherine Coulter,male,   United States  
40195,3442351847,Catherine Coulter,male,   United States  
40196,451209192,Catherine Coulter,male,   United States  
40197,671000306,Clive Cussler,male, United States    
40199,425185710,Clive Cussler,male, United States    
40201,425177173,Clive Cussler,male, United States    
40203,671671138,Clive Cussler,male, United States    
40205,684802988,Clive Cussler,male, United States    
40207,399148728,Clive Cussler,male, United States    
40209,671519816,Clive Cussler,male, United States    
40211,671853864,Clive Cussler,male, United States    
40213,671000314,Clive Cussler,male, United States    
40215,671026682,Clive Cussler,male, United States    
40217,425191729,Clive Cussler,male, United States    
40219,553050044,Clive Cussler,male, United States    
40221,399150412,Clive Cussler,male, United States    
40223,671737775,Clive Cussler,male, United States    
40225,553276328,Clive Cussler,male, United States    
40227,055320663X,Clive Cussler,male, United States    
40229,671631845,Clive Cussler,male, United States    
40231,671742760,Clive Cussler,male, United States    
40233,671001809,Clive Cussler,male, United States    
40235,671521101,Clive Cussler,male, United States    
40237,068480297X,Clive Cussler,male, United States    
40239,399145885,Clive Cussler,male, United States    
40241,671737783,Clive Cussler,male, United States    
40243,039914787X,Clive Cussler,male, United States    
40245,671867318,Clive Cussler,male, United States    
40247,671709453,Clive Cussler,male, United States    
40249,671681559,Clive Cussler,male, United States    
40251,684866161,Clive Cussler,male, United States    
40253,399148175,Clive Cussler,male, United States    
40255,425190641,Clive Cussler,male, United States    
40257,671626132,Clive Cussler,male, United States    
40259,671681567,Clive Cussler,male, United States    
40261,425193721,Clive Cussler,male, United States    
40263,671670417,Clive Cussler,male, United States    
40265,684830272,Clive Cussler,male, United States    
40267,067172519X,Clive Cussler,male, United States    
40269,399150803,Clive Cussler,male, United States    
40271,785773924,Clive Cussler,male, United States    
40273,225305612X,Clive Cussler,male, United States    
40275,671026704,Clive Cussler,male, United States    
40277,671704648,Clive Cussler,male, United States    
40279,553277405,Clive Cussler,male, United States    
40281,553273906,Clive Cussler,male, United States    
40283,671704656,Clive Cussler,male, United States    
40285,425195457,Clive Cussler,male, United States    
40287,067178546X,Clive Cussler,male, United States    
40289,671786261,Clive Cussler,male, United States    
40291,743426797,Clive Cussler,male, United States    
40293,425197387,Clive Cussler,male, United States    
40295,425194523,Clive Cussler,male, United States    
40297,425197395,Clive Cussler,male, United States    
40299,671026224,Clive Cussler,male, United States    
40301,743418220,Clive Cussler,male, United States    
40303,671020560,Clive Cussler,male, United States    
40305,553138804,Clive Cussler,male, United States    
40307,3764501464,Clive Cussler,male, United States    
40309,399146075,Clive Cussler,male, United States    
40311,671692631,Clive Cussler,male, United States    
40313,743480694,Clive Cussler,male, United States    
40315,671648047,Clive Cussler,male, United States    
40317,553271377,Clive Cussler,male, United States    
40319,8401466083,Clive Cussler,male, United States    
40321,743467302,Clive Cussler,male, United States    
40323,671557971,Clive Cussler,male, United States    
40325,2253172456,Clive Cussler,male, United States    
40327,399149252,Clive Cussler,male, United States    
40329,553228668,Clive Cussler,male, United States    
40331,553258966,Clive Cussler,male, United States    
40333,736675612,Clive Cussler,male, United States    
40335,553138995,Clive Cussler,male, United States    
40337,553228897,Clive Cussler,male, United States    
40339,671626191,Clive Cussler,male, United States    
40341,671576836,Clive Cussler,male, United States    
40343,1585470031,Clive Cussler,male, United States    
40345,553254871,Clive Cussler,male, United States    
40347,671022164,Clive Cussler,male, United States    
40349,671020552,Clive Cussler,male, United States    
40351,671632566,Clive Cussler,male, United States    
40353,743467388,Clive Cussler,male, United States    
40355,743423070,Clive Cussler,male, United States    
40357,670747416,Clive Cussler,male, United States    
40359,3442098238,Clive Cussler,male, United States    
40361,8484502201,Clive Cussler,male, United States    
40363,553230921,Clive Cussler,male, United States    
40365,671632558,Clive Cussler,male, United States    
40367,3442084970,Clive Cussler,male, United States    
40369,684826909,Clive Cussler,male, United States    
40371,786222832,Clive Cussler,male, United States    
40373,061329372X,Clive Cussler,male, United States    
40375,743467183,Clive Cussler,male, United States    
40377,075401410X,Clive Cussler,male, United States    
40379,3442356016,Clive Cussler,male, United States    
40381,3442428025,Clive Cussler,male, United States    
40383,3442421888,Clive Cussler,male, United States    
40385,553233289,Clive Cussler,male, United States    
40387,671630881,Clive Cussler,male, United States    
40389,743474147,Clive Cussler,male, United States    
40391,743426800,Clive Cussler,male, United States    
40393,3442437423,Clive Cussler,male, United States    
40395,078624660X,Clive Cussler,male, United States    
40397,3442552680,Clive Cussler,male, United States    
40399,067150374X,Clive Cussler,male, United States    
40401,3442355281,Clive Cussler,male, United States    
40403,3442553121,Clive Cussler,male, United States    
40405,2253046752,Clive Cussler,male, United States    
40407,671022172,Clive Cussler,male, United States    
40409,671503731,Clive Cussler,male, United States    
40411,553110624,Clive Cussler,male, United States    
40413,671311026,Clive Cussler,male, United States    
40415,816138877,Clive Cussler,male, United States    
40417,553256769,Clive Cussler,male, United States    
40419,553146416,Clive Cussler,male, United States    
40421,039914949X,Clive Cussler,male, United States    
40423,671789236,Clive Cussler,male, United States    
40425,067178546x,Clive Cussler,male, United States    
40427,039915177X,Clive Cussler,male, United States    
40429,3442358965,Clive Cussler,male, United States    
40431,425198480,Clive Cussler,male, United States    
40433,684860805,Clive Cussler,male, United States    
40435,671670425,Clive Cussler,male, United States    
40437,8484504182,Clive Cussler,male, United States    
40439,684825996,Clive Cussler,male, United States    
40441,425178242,Carl Hiaasen,male, United States    
40444,446604658,Carl Hiaasen,male, United States    
40447,446604666,Carl Hiaasen,male, United States    
40450,375700692,Carl Hiaasen,male, United States    
40453,044661193X,Carl Hiaasen,male, United States    
40456,449219410,Carl Hiaasen,male, United States    
40459,679454446,Carl Hiaasen,male, United States    
40462,679454454,Carl Hiaasen,male, United States    
40465,449221180,Carl Hiaasen,male, United States    
40468,449001245,Carl Hiaasen,male, United States    
40471,446603422,Carl Hiaasen,male, United States    
40474,446343455,Carl Hiaasen,male, United States    
40477,446600660,Carl Hiaasen,male, United States    
40480,679419829,Carl Hiaasen,male, United States    
40483,399141928,Carl Hiaasen,male, United States    
40486,679419810,Carl Hiaasen,male, United States    
40489,446352764,Carl Hiaasen,male, United States    
40492,375700676,Carl Hiaasen,male, United States    
40495,446611514,Carl Hiaasen,male, United States    
40498,446677167,Carl Hiaasen,male, United States    
40501,375411089,Carl Hiaasen,male, United States    
40504,067946039X,Carl Hiaasen,male, United States    
40507,345422805,Carl Hiaasen,male, United States    
40510,399147918,Carl Hiaasen,male, United States    
40513,3442439906,Carl Hiaasen,male, United States    
40516,8401326591,Carl Hiaasen,male, United States    
40519,425186067,Carl Hiaasen,male, United States    
40522,375416714,Carl Hiaasen,male, United States    
40525,375409513,Carl Hiaasen,male, United States    
40528,813017173,Carl Hiaasen,male, United States    
40531,807209228,Carl Hiaasen,male, United States    
40534,394589688,Carl Hiaasen,male, United States    
40537,517195291,Carl Hiaasen,male, United States    
40540,399134891,Carl Hiaasen,male, United States    
40543,618173870,Jonathan Safran Foer,male, United States  
40548,60529709,Jonathan Safran Foer,male, United States  
40553,3462032178,Jonathan Safran Foer,male, United States  
40558,451202341,Tawni O'Dell,female,   United States  
40559,670894184,Tawni O'Dell,female,   United States  
40560,067089995X,Tawni O'Dell,female,   United States  
40562,B0000VZEH8,Tawni O'Dell,female,   United States  
40563,743418190,Jennifer Weiner,female,   United States  
40566,743418174,Jennifer Weiner,female,   United States  
40569,743418166,Jennifer Weiner,female,   United States  
40572,743418204,Jennifer Weiner,female,   United States  
40575,743508467,Jennifer Weiner,female,   United States  
40578,26255901,Jennifer Weiner,female,   United States  
40581,B0001FZGBC,Jennifer Weiner,female,   United States  
40584,373303068,Jennifer Weiner,female,   United States  
40587,743528271,Jennifer Weiner,female,   United States  
40590,743470095,Jennifer Weiner,female,   United States  
40593,486272664,Samuel Taylor Coleridge,male,England    
40595,460873326,Samuel Taylor Coleridge,male,England    
40597,312112505,Samuel Taylor Coleridge,male,England    
40599,014058501X,Samuel Taylor Coleridge,male,England    
40601,140423532,Samuel Taylor Coleridge,male,England    
40603,486223051,Samuel Taylor Coleridge,male,England    
40605,460873164,Samuel Taylor Coleridge,male,England    
40607,460870599,Samuel Taylor Coleridge,male,England    
40609,393979040,Samuel Taylor Coleridge,male,England    
40611,6280323,Samuel Taylor Coleridge,male,England    
40613,517118491,Samuel Taylor Coleridge,male,England    
40615,380009994,Samuel Taylor Coleridge,male,England    
40617,440225078,Karen Robards,female,   United States  
40619,446326925,Karen Robards,female,   United States  
40621,446306177,Karen Robards,female,   United States  
40623,743410599,Karen Robards,female,   United States  
40625,743453468,Karen Robards,female,   United States  
40627,671786601,Karen Robards,female,   United States  
40629,671786466,Karen Robards,female,   United States  
40631,440225043,Karen Robards,female,   United States  
40633,671786539,Karen Robards,female,   United States  
40635,743410602,Karen Robards,female,   United States  
40637,446353914,Karen Robards,female,   United States  
40639,380755556,Karen Robards,female,   United States  
40641,385310366,Karen Robards,female,   United States  
40643,385319711,Karen Robards,female,   United States  
40645,385308361,Karen Robards,female,   United States  
40647,074346723X,Karen Robards,female,   United States  
40649,446300586,Karen Robards,female,   United States  
40651,440215935,Karen Robards,female,   United States  
40653,038531972X,Karen Robards,female,   United States  
40655,385312059,Karen Robards,female,   United States  
40657,446300578,Karen Robards,female,   United States  
40659,440221064,Karen Robards,female,   United States  
40661,440208270,Karen Robards,female,   United States  
40663,446353507,Karen Robards,female,   United States  
40665,671786458,Karen Robards,female,   United States  
40667,380755548,Karen Robards,female,   United States  
40669,380758881,Karen Robards,female,   United States  
40671,843938447,Karen Robards,female,   United States  
40673,038075889X,Karen Robards,female,   United States  
40675,380754371,Karen Robards,female,   United States  
40677,440208300,Karen Robards,female,   United States  
40679,440208297,Karen Robards,female,   United States  
40681,446306185,Karen Robards,female,   United States  
40683,743453476,Karen Robards,female,   United States  
40685,440208289,Karen Robards,female,   United States  
40687,385310404,Karen Robards,female,   United States  
40689,385310382,Karen Robards,female,   United States  
40691,440221072,Karen Robards,female,   United States  
40693,3453195809,Karen Robards,female,   United States  
40695,743453492,Karen Robards,female,   United States  
40697,399152024,Karen Robards,female,   United States  
40699,3453211243,Karen Robards,female,   United States  
40701,038531034X,Karen Robards,female,   United States  
40703,843910844,Karen Robards,female,   United States  
40705,084392960X,Karen Robards,female,   United States  
40707,446606898,Karen Robards,female,   United States  
40709,446326054,Karen Robards,female,   United States  
40711,843926414,Karen Robards,female,   United States  
40713,440221080,Karen Robards,female,   United States  
40715,446784613,Karen Robards,female,   United States  
40717,385306776,Karen Robards,female,   United States  
40719,743467396,Karen Robards,female,   United States  
40721,084393414X,Karen Robards,female,   United States  
40723,843935928,Karen Robards,female,   United States  
40725,380732688,Faye Kellerman,female, United States    
40727,688156126,Faye Kellerman,female, United States    
40729,380726262,Faye Kellerman,female, United States    
40731,688156134,Faye Kellerman,female, United States    
40733,446530387,Faye Kellerman,female, United States    
40735,688156142,Faye Kellerman,female, United States    
40737,380730847,Faye Kellerman,female, United States    
40739,380817691,Faye Kellerman,female, United States    
40741,449148408,Faye Kellerman,female, United States    
40743,3442726735,Faye Kellerman,female, United States    
40745,446611476,Faye Kellerman,female, United States    
40747,449147282,Faye Kellerman,female, United States    
40749,449218929,Faye Kellerman,female, United States    
40751,446531316,Faye Kellerman,female, United States    
40753,688143679,Faye Kellerman,female, United States    
40755,380724987,Faye Kellerman,female, United States    
40757,380726254,Faye Kellerman,female, United States    
40759,688143687,Faye Kellerman,female, United States    
40761,449215024,Faye Kellerman,female, United States    
40763,380730820,Faye Kellerman,female, United States    
40765,449148246,Faye Kellerman,female, United States    
40767,449003299,Faye Kellerman,female, United States    
40769,449148394,Faye Kellerman,female, United States    
40771,449213730,Faye Kellerman,female, United States    
40773,380732661,Faye Kellerman,female, United States    
40775,688046126,Faye Kellerman,female, United States    
40777,380726246,Faye Kellerman,female, United States    
40779,038073267X,Faye Kellerman,female, United States    
40781,380724979,Faye Kellerman,female, United States    
40783,446614041,Faye Kellerman,female, United States    
40785,688143695,Faye Kellerman,female, United States    
40787,044900323X,Faye Kellerman,female, United States    
40789,380732696,Faye Kellerman,female, United States    
40793,3821808284,Faye Kellerman,female, United States    
40795,382180579X,Faye Kellerman,female, United States    
40797,3442724597,Faye Kellerman,female, United States    
40799,3442724619,Faye Kellerman,female, United States    
40801,3442725607,Faye Kellerman,female, United States    
40803,3442724074,Faye Kellerman,female, United States    
40805,3442726727,Faye Kellerman,female, United States    
40807,3442721660,Faye Kellerman,female, United States    
40809,3442721008,Faye Kellerman,female, United States    
40811,3442720478,Faye Kellerman,female, United States    
40813,344272242X,Faye Kellerman,female, United States    
40815,688046134,Faye Kellerman,female, United States    
40817,449003132,Faye Kellerman,female, United States    
40819,068810553X,Faye Kellerman,female, United States    
40821,688105548,Faye Kellerman,female, United States    
40823,60554894,Faye Kellerman,female, United States    
40825,3442451833,Faye Kellerman,female, United States    
40827,3442726042,Faye Kellerman,female, United States    
40829,3442723213,Faye Kellerman,female, United States    
40831,743506642,Faye Kellerman,female, United States    
40833,60197293,Faye Kellerman,female, United States    
40835,3442731224,Faye Kellerman,female, United States    
40837,1561008508,Faye Kellerman,female, United States    
40839,3442727464,Faye Kellerman,female, United States    
40841,140286276,Jacquelyn Mitchard,female,   United States  
40842,670865796,Jacquelyn Mitchard,female,   United States  
40843,451186923,Jacquelyn Mitchard,female,   United States  
40844,61031992,Jacquelyn Mitchard,female,   United States  
40845,61032476,Jacquelyn Mitchard,female,   United States  
40846,451196856,Jacquelyn Mitchard,female,   United States  
40847,670878847,Jacquelyn Mitchard,female,   United States  
40848,451197747,Jacquelyn Mitchard,female,   United States  
40849,613033191,Jacquelyn Mitchard,female,   United States  
40850,670876623,Jacquelyn Mitchard,female,   United States  
40851,140274979,Jacquelyn Mitchard,female,   United States  
40852,66210232,Jacquelyn Mitchard,female,   United States  
40853,60573562,Jacquelyn Mitchard,female,   United States  
40854,694525324,Jacquelyn Mitchard,female,   United States  
40855,2257378,Jacquelyn Mitchard,female,   United States  
40856,226607864X,Jacquelyn Mitchard,female,   United States  
40857,3442350581,Jacquelyn Mitchard,female,   United States  
40858,694524972,Jacquelyn Mitchard,female,   United States  
40859,080213825X,Candace Bushnell,male, United States  
40863,446673544,Candace Bushnell,male, United States  
40867,451203895,Candace Bushnell,male, United States  
40871,349111863,Candace Bushnell,male, United States  
40875,871138190,Candace Bushnell,male, United States  
40879,1586210300,Candace Bushnell,male, United States  
40883,1401396704,Candace Bushnell,male, United States  
40887,078686818X,Candace Bushnell,male, United States  
40891,3442453003,Candace Bushnell,male, United States  
40895,786888717,Candace Bushnell,male, United States  
40899,786887060,Candace Bushnell,male, United States  
40903,871136422,Candace Bushnell,male, United States  
40907,786231521,Candace Bushnell,male, United States  
40911,1401397468,Candace Bushnell,male, United States  
40915,3548680259,Candace Bushnell,male, United States  
40919,2253152129,Candace Bushnell,male, United States  
40923,2253154024,Candace Bushnell,male, United States  
40927,312980388,Wilbur Smith,male,Zambia    
40929,330331973,Wilbur Smith,male,Zambia    
40931,312979398,Wilbur Smith,male,Zambia    
40933,312971540,Wilbur Smith,male,Zambia    
40935,312982585,Wilbur Smith,male,Zambia    
40937,312993501,Wilbur Smith,male,Zambia    
40939,312991428,Wilbur Smith,male,Zambia    
40941,312287569,Wilbur Smith,male,Zambia    
40943,330311859,Wilbur Smith,male,Zambia    
40945,330253948,Wilbur Smith,male,Zambia    
40947,330257986,Wilbur Smith,male,Zambia    
40949,312983395,Wilbur Smith,male,Zambia    
40951,749322926,Wilbur Smith,male,Zambia    
40953,312317123,Wilbur Smith,male,Zambia    
40955,312317115,Wilbur Smith,male,Zambia    
40957,312287550,Wilbur Smith,male,Zambia    
40959,333653300,Wilbur Smith,male,Zambia    
40961,330334735,Wilbur Smith,male,Zambia    
40963,8878195235,Wilbur Smith,male,Zambia    
40965,9500422298,Wilbur Smith,male,Zambia    
40967,8478882510,Wilbur Smith,male,Zambia    
40969,312278241,Wilbur Smith,male,Zambia    
40971,8878188751,Wilbur Smith,male,Zambia    
40973,425182878,John Sandford,male, United States    
40977,425163385,John Sandford,male, United States    
40981,425157539,John Sandford,male, United States    
40985,399147284,John Sandford,male, United States    
40989,425121631,John Sandford,male, United States    
40993,039913543X,John Sandford,male, United States    
40997,399146504,John Sandford,male, United States    
41001,425141233,John Sandford,male, United States    
41005,425179885,John Sandford,male, United States    
41009,425195449,John Sandford,male, United States    
41013,425168298,John Sandford,male, United States    
41017,425146413,John Sandford,male, United States    
41021,425155722,John Sandford,male, United States    
41025,425135020,John Sandford,male, United States    
41029,039915180X,John Sandford,male, United States    
41033,425152898,John Sandford,male, United States    
41037,399139141,John Sandford,male, United States    
41041,425132048,John Sandford,male, United States    
41045,425174271,John Sandford,male, United States    
41049,039914613X,John Sandford,male, United States    
41053,399143823,John Sandford,male, United States    
41057,425126064,John Sandford,male, United States    
41061,425189864,John Sandford,male, United States    
41065,425178765,John Sandford,male, United States    
41069,399150439,John Sandford,male, United States    
41073,3442440580,John Sandford,male, United States    
41077,399146334,John Sandford,male, United States    
41081,425137562,John Sandford,male, United States    
41085,399140093,John Sandford,male, United States    
41089,399148639,John Sandford,male, United States    
41093,399141383,John Sandford,male, United States    
41097,399138153,John Sandford,male, United States    
41101,399137424,John Sandford,male, United States    
41105,039914496X,John Sandford,male, United States    
41109,399151397,John Sandford,male, United States    
41113,399142371,John Sandford,male, United States    
41117,3442443881,John Sandford,male, United States    
41121,399140077,John Sandford,male, United States    
41125,039914496x,John Sandford,male, United States    
41129,3442452759,John Sandford,male, United States    
41133,157815054X,John Sandford,male, United States    
41137,1578152534,John Sandford,male, United States    
41141,694523259,John Sandford,male, United States    
41145,399145206,John Sandford,male, United States    
41149,399144021,John Sandford,male, United States    
41153,671046063,John Sandford,male, United States    
41157,399147586,John Sandford,male, United States    
41161,399148949,John Sandford,male, United States    
41165,399134654,John Sandford,male, United States    
41169,3442450519,John Sandford,male, United States    
41173,399136290,John Sandford,male, United States    
41177,399150676,John Sandford,male, United States    
41181,743532805,John Sandford,male, United States    
41185,399150684,John Sandford,male, United States    
41189,849943728,Ted Dekker,male,  Indonesia  
41194,084994371X,Ted Dekker,male,  Indonesia  
41199,849942411,Ted Dekker,male,  Indonesia  
41204,849942918,Ted Dekker,male,  Indonesia  
41209,849942926,Ted Dekker,male,  Indonesia  
41214,849917905,Ted Dekker,male,  Indonesia  
41219,849943809,Ted Dekker,male,  Indonesia  
41224,849943450,Angela Elwell Hunt,female, United States  
41226,849943663,Angela Elwell Hunt,female, United States  
41228,849942845,Angela Elwell Hunt,female, United States  
41230,849942187,Angela Elwell Hunt,female, United States  
41232,446530115,Angela Elwell Hunt,female, United States  
41234,745917437,Angela Elwell Hunt,female, United States  
41236,842349502,Angela Elwell Hunt,female, United States  
41238,849944813,Angela Elwell Hunt,female, United States  
41240,446692328,Angela Elwell Hunt,female, United States  
41242,786214198,Angela Elwell Hunt,female, United States  
41244,1556616090,Angela Elwell Hunt,female, United States  
41246,1556616082,Angela Elwell Hunt,female, United States  
41248,842320121,Angela Elwell Hunt,female, United States  
41250,849916313,Angela Elwell Hunt,female, United States  
41252,310230160,Angela Elwell Hunt,female, United States  
41254,842310649,Angela Elwell Hunt,female, United States  
41256,842310657,Angela Elwell Hunt,female, United States  
41258,042517736X,Robin Cook,male, United States  
41259,425166619,Robin Cook,male, United States  
41260,399143165,Robin Cook,male, United States  
41261,399146008,Robin Cook,male, United States  
41262,2253170453,Robin Cook,male, United States  
41263,425161242,Robin Cook,male, United States  
