,ISBN,bookTitle,book_average_rating
40303,671020560,Inca Gold,3.77
40305,553138804,Raise the Titanic!,3.77
40307,3764501464,Im Zeichen der Wikinger.,3.77
40309,399146075,Atlantis Found (Dirk Pitt Novels (Audio)),3.77
40311,671692631,DEEP SIX,3.77
40313,743480694,The Sea Hunters : True Adventures with Famous Shipwrecks,3.77
40315,671648047,DEEP 6,3.77
40317,553271377,Pacific Vortex,3.77
40319,8401466083,Vixen 03,3.77
40321,743467302,Flood Tide,3.77
40323,671557971,DEEP 6,3.77
40325,2253172456,Mayday !,3.77
40327,399149252,The Sea Hunters II,3.77
40329,553228668,Pacific Vortex,3.77
40331,553258966,Raise the Titanic,3.77
40333,736675612,Valhalla Rising,3.77
40335,553138995,The Mediterranean Caper,3.77
40337,553228897,Raise the Titanic,3.77
40339,671626191,Dragon,3.77
40341,671576836,Cyclops,3.77
40343,1585470031,Raise the Titanic!,3.77
40345,553254871,Vixen 03,3.77
40347,671022164,Numa Files 1: Serpent (Numa Files),3.77
40349,671020552,Shock Wave,3.77
40351,671632566,MEDITERR CAPER,3.77
40353,743467388,Deep Six,3.77
40355,743423070,Serpent,3.77
40357,670747416,Vixen 03,3.77
40359,3442098238,Cyclop. Roman.,3.77
40361,8484502201,Serpiente,3.77
40363,553230921,Vixen 03,3.77
40365,671632558,Iceberg,3.77
40367,3442084970,Im Todesnebel. Roman.,3.77
40369,684826909,MEDITERRANEAN CAPER,3.77
40371,786222832,Atlantis Found (Thorndike Large Print Basic Series),3.77
40373,061329372X,Treasure,3.77
40375,743467183,Blue Gold : A Novel from the NUMA Files,3.77
40377,075401410X,Atlantis Found,3.77
40379,3442356016,Eisberg.,3.77
40381,3442428025,Operation Sahara.,3.77
40383,3442421888,Die Ajima - VerschwÃ?Â¶rung. Roman.,3.77
40385,553233289,The Mediterranean Caper,3.77
40387,671630881,CYCLOPS          X,3.77
40389,743474147,Inca Gold,3.77
40391,743426800,Inca Gold (Dirk Pitt Adventures (Paperback)),3.77
40393,3442437423,Inka- Gold.,3.77
40395,078624660X,Fire Ice: A Novel from the Numa Files (Thorndike Press Large Print Basic Series),3.77
40397,3442552680,Hebt die Titanic. Roman.,3.77
40399,067150374X,Cyclops,3.77
40401,3442355281,Das Alexandria- Komplott. Roman.,3.77
40403,3442553121,Cyclop. Roman.,3.77
40405,2253046752,Cyclope,3.77
40407,671022172,The NUMA Files 2: Blue Gold (A Novel from the NUMA Files),3.77
40409,671503731,Deep Six,3.77
40411,553110624,Iceberg,3.77
40413,671311026,Cyclops,3.77
40415,816138877,Pacific Vortex (G.K. Hall Large Print Book Series),3.77
40417,553256769,Night Probe,3.77
40419,553146416,Iceberg,3.77
40421,039914949X,The Sea Hunters: More True Adventures With Famous Shipwrecks,3.77
40423,671789236,SAHARA (EXPORT),3.77
40425,067178546x,Blue Gold : A Novel from the NUMA Files,3.77
40427,039915177X,Lost City,3.77
40429,3442358965,Akte Atlantis.,3.77
40431,425198480,Sacred Stone (Oregon Files (Paperback)),3.77
40433,684860805,Numa Files 1: Serpent (Numa Files),3.77
40435,671670425,MEDITERR CAPER,3.77
40437,8484504182,El Imperio Del Agua/Flood Tide,3.77
40439,684825996,The Mediterranean Caper &amp; Iceberg,3.77
40441,425178242,Kick Ass: Selected Columns of Carl Hiaasen,3.89
40444,446604658,Lucky You,3.89
40447,446604666,Sick Puppy,3.89
40450,375700692,Trap Line (Vintage Crime/Black Lizard),3.89
40453,044661193X,Basket Case,3.89
40456,449219410,Skin Tight,3.89
40459,679454446,Lucky You,3.89
40462,679454454,Sick Puppy,3.89
40465,449221180,Native Tongue,3.89
40468,449001245,Naked Came the Manatee,3.89
40471,446603422,Stormy Weather,3.89
40474,446343455,Tourist Season,3.89
40477,446600660,Strip Tease,3.89
40480,679419829,Stormy Weather,3.89
40483,399141928,Naked Came the Manatee: A Novel,3.89
40486,679419810,Strip Tease,3.89
40489,446352764,Double Whammy,3.89
40492,375700676,A Death in China (Vintage Crime/Black Lizard),3.89
40495,446611514,Skin Tight,3.89
40498,446677167,Stormy Weather,3.89
40501,375411089,Skinny Dip,3.89
40504,067946039X,Lucky You: A Novel,3.89
40507,345422805,Team Rodent : How Disney Devours the World,3.89
40510,399147918,Paradise Screwed: Selected Columns of Carl Hiaasen,3.89
40513,3442439906,Unter die Haut.,3.89
40516,8401326591,RatÃ³n de lengua azul,3.89
40519,425186067,Paradise Screwed: Selected Columns of Carl Hiaasen,3.89
40522,375416714,Strip Tease (Price-Less Audios),3.89
40525,375409513,Sick Puppy,3.89
40528,813017173,Kick Ass: Selected Columns of Carl Hiaasen,3.89
40531,807209228,Hoot,3.89
40534,394589688,Tourist Season,3.89
40537,517195291,Strip Tease,3.89
40540,399134891,Skin Tight,3.89
40543,618173870,Everything Is Illuminated: A Novel,3.9
40548,60529709,Everything Is Illuminated : A Novel,3.9
40553,3462032178,Alles ist erleuchtet.,3.9
40558,451202341,Back Roads,3.74
40559,670894184,Back Roads,3.74
40560,067089995X,Coal Run,3.74
40562,B0000VZEH8,Back Roads,3.74
40563,743418190,In Her Shoes : A Novel,3.72
40566,743418174,Good in Bed,3.72
40569,743418166,Good in Bed,3.72
40572,743418204,In Her Shoes : A Novel,3.72
40575,743508467,Good In Bed,3.72
40578,26255901,WORLD OF COOKING,3.72
40581,B0001FZGBC,In Her Shoes : A Novel,3.72
40584,373303068,Station Gehenna,3.72
40587,743528271,In Her Shoes : A Novel,3.72
40590,743470095,Little Earthquakes : A Novel,3.72
40593,486272664,The Rime of the Ancient Mariner and Other Poems,3.93
40595,460873326,Biographia Literaria (Everyman Paperback Classics),3.93
40597,312112505,Samuel Taylor Coleridge: Selected Poems (Bloosmb Ury Poetry Classics),3.93
40599,014058501X,Coleridge: Selected Poetry and Prose (Penguin Poetry Library),3.93
40601,140423532,The Complete Poems (Penguin Classics),3.93
40603,486223051,The Rime of the Ancient Mariner (African Art Art of Illustration),3.93
40605,460873164,Poems (Everyman Paperback Classics),3.93
40607,460870599,Poems (Everyman's library),3.93
40609,393979040,Coleridge's Poetry and Prose (Norton Critical Edition),3.93
40611,6280323,Spiritual Writings Selected Poems and Pros (Fount Classics),3.93
40613,517118491,The Rime of the Ancient Mariner: In Seven Parts,3.93
40615,380009994,The Rime of the Ancient Mariner,3.93
40617,440225078,Ghost Moon,3.97
40619,446326925,Wild Orchids,3.97
40621,446306177,Amanda Rose,3.97
40623,743410599,Scandalous (Banning Sisters Trilogy),3.97
40625,743453468,Whispers at Midnight,3.97
40627,671786601,To Trust a Stranger,3.97
40629,671786466,Paradise County,3.97
40631,440225043,The Midnight Hour,3.97
40633,671786539,To Trust a Stranger,3.97
40635,743410602,Irresistible (Banning Sisters Trilogy),3.97
40637,446353914,Night Magic,3.97
40639,380755556,Tiger's Eye,3.97
40641,385310366,Hunter's Moon,3.97
40643,385319711,The Midnight Hour,3.97
40645,385308361,One Summer,3.97
40647,074346723X,Paradise County,3.97
40649,446300586,Night Magic,3.97
40651,440215935,Hunter's Moon,3.97
40653,038531972X,Ghost Moon,3.97
40655,385312059,Maggy's Child,3.97
40657,446300578,Loving Julia,3.97
40659,440221064,Forbidden Love,3.97
40661,440208270,This Side of Heaven,3.97
40663,446353507,To Love a Man,3.97
40665,671786458,Paradise County (American Sisters),3.97
40667,380755548,Desire in the Sun,3.97
40669,380758881,Morning Song,3.97
40671,843938447,Island Flame,3.97
40673,038075889X,Green Eyes (Avon Romance),3.97
40675,380754371,Dark of the Moon,3.97
40677,440208300,Maggy's Child,3.97
40679,440208297,One Summer,3.97
40681,446306185,Dark Torment,3.97
40683,743453476,Whispers at Midnight,3.97
40685,440208289,Nobody's Angel,3.97
40687,385310404,The Senator's Wife,3.97
40689,385310382,Heartbreaker,3.97
40691,440221072,Island Flame,3.97
40693,3453195809,Nacht des Schicksals.,3.97
40695,743453492,Beachcomber,3.97
40697,399152024,Bait,3.97
40699,3453211243,Die Frau des Senators.,3.97
40701,038531034X,Walking After Midnight,3.97
40703,843910844,Seafire (Leisure Books),3.97
40705,084392960X,Island Flame,3.97
40707,446606898,Dark Torment,3.97
40709,446326054,To Love a Man,3.97
40711,843926414,Sea Fire,3.97
40713,440221080,Sea Fire,3.97
40715,446784613,Dark Torment,3.97
40717,385306776,Nobody's Angel,3.97
40719,743467396,Scandalous,3.97
40721,084393414X,Island Flame,3.97
40723,843935928,Forbidden Love,3.97
40725,380732688,Milk and Honey (Peter Decker/Rina Lazarus Novels),3.94
40727,688156126,Jupiter's Bones: A Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40729,380726262,Moon Music (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40731,688156134,Stalker: A Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40733,446530387,Stone Kiss (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40735,688156142,The Forgotten: A Peter Decker/Rina Lazarus Novel,3.94
40737,380730847,The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40739,380817691,Stalker: A Peter Decker and Rina Lazarus Novel,3.94
40741,449148408,False Prophet: A Peter Decker/Rina Lazarus Mystery (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40743,3442726735,Der wird Euch mit Feuer taufen.,3.94
40745,446611476,Stone Kiss,3.94
40747,449147282,Milk and Honey (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40749,449218929,Quality of Mercy,3.94
40751,446531316,Street Dreams,3.94
40753,688143679,Prayers for the Dead: A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40755,380724987,Justice (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40757,380726254,Serpent's Tooth : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40759,688143687,Serpent's Tooth: A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40761,449215024,Sacred and Profane (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40763,380730820,Jupiter's Bones : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40765,449148246,Day of Atonement (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40767,449003299,False Prophet: A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40769,449148394,Grievous Sin (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40771,449213730,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40773,380732661,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40775,688046126,Sanctuary: A Peter Decker/Rina Lazarus Mystery (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40777,380726246,Prayers for the Dead : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40779,038073267X,Sacred and Profane (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40781,380724979,Sanctuary (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40783,446614041,Street Dreams,3.94
40785,688143695,Moon Music: A Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40787,044900323X,Day of Atonement (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40789,380732696,The Quality of Mercy,3.94
40793,3821808284,Der wird Euch mit Feuer taufen.,3.94
40795,382180579X,Der Schlange List.,3.94
40797,3442724597,Weder Tag noch Stunde.,3.94
40799,3442724619,Die reinen Herzens sind.,3.94
40801,3442725607,Totengebet.,3.94
40803,3442724074,Du sollst nicht lÃ?Â¼gen.,3.94
40805,3442726727,Die Rache ist dein.,3.94
40807,3442721660,Tag der BuÃ?Â?e.,3.94
40809,3442721008,Abschied von Eden.,3.94
40811,3442720478,Das Hohelied des Todes.,3.94
40813,344272242X,Denn rein soll deine Seele sein.,3.94
40815,688046134,Justice: A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40817,449003132,Milk and Honey (Decker and Lazarus Series),3.94
40819,068810553X,False Prophet (With Free Paperback of the Ritual Bath),3.94
40821,688105548,Grievous Sin: A Peter Decker/Rina Lazarus Mystery (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),3.94
40823,60554894,Day of Atonement: A Peter Decker/Rina Lazarus Novel,3.94
40825,3442451833,Becca.,3.94
40827,3442726042,Der Schlange List.,3.94
40829,3442723213,Becca.,3.94
40831,743506642,Stalker (Peter Decker &amp; Rina Lazarus Novels (Audio)),3.94
40833,60197293,Stalker: A Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),3.94
40835,3442731224,Die reinen Herzens sind.,3.94
40837,1561008508,Justice (Peter Decker &amp; Rina Lazarus Novels (Audio)),3.94
40839,3442727464,Das Hohelied des Todes. Sonderausgabe.,3.94
40841,140286276,The Deep End of the Ocean (Oprah's Book Club),3.86
40842,670865796,The Deep End of the Ocean (Oprah's Book Club (Hardcover)),3.86
40843,451186923,The Deep End of the Ocean,3.86
40844,61031992,A Theory of Relativity,3.86
40845,61032476,Twelve Times Blessed,3.86
40846,451196856,The Most Wanted,3.86
40847,670878847,The Most Wanted,3.86
40848,451197747,The Deep End of the Ocean,3.86
40849,613033191,The Deep End of the Ocean,3.86
40850,670876623,The Rest of Us: Dispatches from the Mother Ship,3.86
40851,140274979,The Rest of Us: Dispatches from the Mother Ship,3.86
40852,66210232,A Theory of Relativity,3.86
40853,60573562,Starring Prima! : The Mouse of the Ballet Jolie,3.86
40854,694525324,A Theory of Relativity,3.86
40855,2257378,Most Wanted,3.86
40856,226607864X,Aussi Profond Que L'Ocean / The Deep End of the Ocean,3.86
40857,3442350581,Tief wie der Ozean.,3.86
40858,694524972,A Theory of Relativity,3.86
40859,080213825X,Four Blondes,3.4
40863,446673544,Sex &amp; the City,3.4
40867,451203895,4 Blondes,3.4
40871,349111863,Sex and the City,3.4
40875,871138190,Four Blondes,3.4
40879,1586210300,Sex and the City,3.4
40883,1401396704,Trading Up,3.4
40887,078686818X,Trading Up,3.4
40891,3442453003,Sex and the City.,3.4
40895,786888717,Trading Up,3.4
40899,786887060,Trading Up: A Novel,3.4
40903,871136422,Sex and the City,3.4
40907,786231521,Four Blondes (Thorndike Paperback Bestsellers),3.4
40911,1401397468,Trading Up,3.4
40915,3548680259,Vier Blondinen.,3.4
40919,2253152129,Sex and the city,3.4
40923,2253154024,Quatre blondes,3.4
40927,312980388,Warlock : A Novel of Ancient Egypt,4.21
40929,330331973,River God,4.21
40931,312979398,The Eye of the Tiger,4.21
40933,312971540,Monsoon (A Courtney Family Adventure),4.21
40935,312982585,Cry Wolf,4.21
40937,312993501,Wild Justice,4.21
40939,312991428,Blue Horizon (A Courtney Family Adventure),4.21
40941,312287569,The Seventh Scroll,4.21
40943,330311859,Time to Die,4.21
40945,330253948,A Sparrow Falls,4.21
40947,330257986,Hungry As the Sea,4.21
40949,312983395,The Sunbird,4.21
40951,749322926,When the Lion Feeds,4.21
40953,312317123,Monsoon,4.21
40955,312317115,Birds of Prey of the World,4.21
40957,312287550,River God : A Novel of Ancient Egypt,4.21
40959,333653300,Birds of Prey,4.21
40961,330334735,Rage / Power of the Sword,4.21
40963,8878195235,Il Canto Dell'elefante,4.21
40965,9500422298,Hechicero,4.21
40967,8478882510,El Leopardo Caza En La Oscuridad,4.21
40969,312278241,Blue Horizon,4.21
40971,8878188751,Il Dio Del Fiume,4.21
40973,425182878,Chosen Prey,4.12
40977,425163385,The Night Crew,4.12
40981,425157539,Sudden Prey,4.12
40985,399147284,Chosen Prey,4.12
40989,425121631,Rules of Prey,4.12
40993,039913543X,Shadow Prey,4.12
40997,399146504,The Devil's Code,4.12
41001,425141233,Winter Prey,4.12
41005,425179885,The Devil's Code,4.12
41009,425195449,Naked Prey (Prey),4.12
41013,425168298,Secret Prey,4.12
41017,425146413,Night Prey,4.12
41021,425155722,The Fool's Run,4.12
41025,425135020,The Empress File,4.12
41029,039915180X,Hidden Prey,4.12
41033,425152898,Mind Prey,4.12
41037,399139141,Night Prey,4.12
41041,425132048,Eyes of Prey,4.12
41045,425174271,Certain Prey,4.12
41049,039914613X,Easy Prey,4.12
41053,399143823,Secret Prey,4.12
41057,425126064,Shadow Prey,4.12
41061,425189864,Mortal Prey,4.12
41065,425178765,Easy Prey,4.12
41069,399150439,Naked Prey,4.12
41073,3442440580,Letzter Dreh.,4.12
41077,399146334,Easy Prey,4.12
41081,425137562,Silent Prey,4.12
41085,399140093,Mind Prey,4.12
41089,399148639,Mortal Prey,4.12
41093,399141383,Sudden Prey,4.12
41097,399138153,Winter Prey,4.12
41101,399137424,Silent Prey,4.12
41105,039914496X,Certain Prey,4.12
41109,399151397,The Hanged Man's Song,4.12
41113,399142371,The Night Crew,4.12
41117,3442443881,Die Jagdpartie.,4.12
41121,399140077,Three Complete Novels : Rules of Prey; Shadow Prey; Eyes of Prey,4.12
41125,039914496x,Certain Prey,4.12
41129,3442452759,TÃ?Â¶dlicher Blick. Ein Lucas- Davenport- Roman.,4.12
41133,157815054X,Shadow Prey,4.12
41137,1578152534,Trilogy of Mysteries,4.12
41141,694523259,Winter Prey : Low Price,4.12
41145,399145206,Certain Prey,4.12
41149,399144021,Secret Prey (Cassette/Abridged),4.12
41153,671046063,NIGHT PREY,4.12
41157,399147586,Chosen Prey,4.12
41161,399148949,Mortal Prey,4.12
41165,399134654,Rules of Prey,4.12
41169,3442450519,Nachtblind.,4.12
41173,399136290,Eyes of Prey,4.12
41177,399150676,Naked Prey,4.12
41181,743532805,Night Prey,4.12
41185,399150684,Naked Prey,4.12
41189,849943728,Three,3.78
41194,084994371X,Blink,3.78
41199,849942411,Heaven's Wager,3.78
41204,849942918,When Heaven Weeps - A Novel -,3.78
41209,849942926,Thunder of Heaven,3.78
41214,849917905,Black,3.78
41219,849943809,A Man Called Blessed,3.78
41224,849943450,The Canopy,4.16
41226,849943663,The Pearl (Women of Faith Fiction),4.16
41228,849942845,The Note - A Novel -,4.16
41230,849942187,The Immortal,4.16
41232,446530115,The Shadow Women,4.16
41234,745917437,The Tale of Three Trees: A Traditional Folktale,4.16
41236,842349502,The Proposal,4.16
41238,849944813,The Awakening,4.16
41240,446692328,The Shadow Women,4.16
41242,786214198,Dreamers (Five Star Christian Fiction),4.16
41244,1556616090,Journey (Legacies of the Ancient River),4.16
41246,1556616082,Brothers (Legacies of the Ancient River),4.16
41248,842320121,Roanoke: The Lost Colony (Keepers of the Ring #1),4.16
41250,849916313,The Justice,4.16
41252,310230160,Then Comes Marriage,4.16
41254,842310649,A Dream to Cherish (Cassie Perkins),4.16
41256,842310657,The Much Adored Sandy Shore (Cassie Perkins),4.16
41258,042517736X,Abduction,3.87
41259,425166619,Toxin,3.87
41260,399143165,Toxin,3.87
41261,399146008,Shock,3.87
41262,2253170453,Risque mortel,3.87
41263,425161242,Chromosome 6,3.87
41264,425155943,Contagion,3.87
41265,316155101,Coma: A Novel,3.87
41266,399133186,Mortal Fear,3.87
41267,425119653,Mutation,3.87
41268,399148760,Seizure,3.87
41269,451082028,Coma,3.87
41270,425125467,Harmful Intent,3.87
41271,042510687X,Outbreak,3.87
41272,425145638,Fatal Cure,3.87
41273,9500416387,Cerebro,3.87
41274,451159497,Sphinx,3.87
41275,425155404,Invasion,3.87
41276,399141065,Contagion,3.87
41277,399144714,Vector,3.87
41278,425151867,Acceptable Risk,3.87
41279,042518286X,Shock,3.87
41280,425136191,Blindsight,3.87
41281,451119932,Fever,3.87
41282,425113884,Mortal Fear,3.87
41283,399139710,Acceptable Risk,3.87
41284,451141083,Mindbend,3.87
41285,425140946,Terminal,3.87
41286,8408010468,Terminal,3.87
41287,1568652860,Invasion,3.87
41288,042517638X,Godplayer,3.87
41289,425131769,Vital Signs,3.87
41290,451157974,Brain,3.87
41291,425172996,Vector,3.87
41292,451159535,Coma (Signet Books),3.87
41293,451157281,Godplayer,3.87
41294,399136452,Blindsight,3.87
41295,425155064,Terminal,3.87
41296,039914207X,Chromosome 6,3.87
41297,399137718,Terminal,3.87
41298,039913879X,Fatal Cure,3.87
41299,225317114X,Invasion,3.87
41300,606060510,Terminal,3.87
41301,425167097,Toxin,3.87
41302,399134026,Mutation,3.87
41303,451176235,Fever,3.87
41304,451155076,Coma,3.87
41305,451176227,Brain,3.87
41306,451160339,Fever,3.87
41307,399139648,Three Complete Novels: Harmful Intent/Vital Signs/Blindsight,3.87
41308,399131876,Outbreak,3.87
41309,2253055751,Syncopes,3.87
41310,451112601,Brain,3.87
41311,3442434475,Das Experiment.,3.87
41312,2253170828,Contagion,3.87
41313,2253040738,Manipulations,3.87
41314,451176219,Coma,3.87
41315,451129504,Godplayer,3.87
41316,3442431360,Todesengel.,3.87
41317,9500419335,Toxina,3.87
41318,399126376,Fever,3.87
41319,451132963,Coma,3.87
41320,451165551,The Year of the Intern,3.87
41321,8478882472,MÃ©dico interno,3.87
41322,451176251,Mindbend,3.87
41323,344242447X,Gottspieler.,3.87
41324,399135758,Vital Signs,3.87
41325,399125639,Brain,3.87
41326,3442352207,Chromosom 6.,3.87
41327,9507424202,Terminal,3.87
41328,399138765,Three Complete Novels: Outbreak/Mortal Fear/Mutation,3.87
41329,399123288,Sphinx,3.87
41330,451207394,Coma,3.87
41331,399134816,Harmful Intent,3.87
41332,425174204,Fever,3.87
41334,2253171689,Toxine,3.87
41335,2253172324,Chromosome 6,3.87
41336,2266071319,Mutation,3.87
41337,2253076902,Phase terminale,3.87
41338,2253076619,Vengeance aveugle,3.87
41339,2253059463,Sphinx,3.87
41340,2253047147,Virus,3.87
41341,2253076228,Avec intention de nuire,3.87
41342,3442433126,Das Labor.,3.87
41343,671692690,HARMFUL INTENT,3.87
41344,451097459,Sphinx,3.87
41345,2226093753,Contagion,3.87
41346,816143161,Outbreak (G.K. Hall Large Print Book Series),3.87
41347,1568494904,Sphinx,3.87
41348,671729721,VITAL SIGNS,3.87
41349,831743859,Terminal-21.95,3.87
41350,3442423252,Narkosemord.,3.87
41351,B00006I4K5,Brain,3.87
41352,039912764X,Godplayer,3.87
41353,451154282,Fever,3.87
41354,451154924,Brain,3.87
41355,399142274,Chromosome 6,3.87
41356,3442424488,Fieber.,3.87
41357,3404120345,Der Fluch der Sphinx. Roman.,3.87
41358,399129669,Mindbend,3.87
41359,681565918,Toxin,3.87
41360,671755838,BLINDSIGHT CST,3.87
41361,2253076414,Naissances sur ordonnance,3.87
41362,2253031437,Vertiges,3.87
41363,2253050687,Danger Mortel,3.87
41364,613216792,Harmful Intent,3.87
41365,1559273623,Contagion,3.87
41366,425126994,Harmful Intent (International Version),3.87
41367,344235157X,Toxin.,3.87
41368,3442552389,Gottspieler.,3.87
41369,785796045,Blindsight,3.87
41371,840149284X,Como Si Fuera Dios/Godplayer,3.87
41372,451176243,Godplayer,3.87
41373,671868713,And Never Let Her Go : Thomas Capano: The Deadly Seducer,4.14
41376,067169071X,EVERYTHING SHE EVER WANTED,4.14
41379,671769200,If You Really Loved Me,4.14
41382,067179356X,In the Name of Love : Ann Rule's Crime Files Volume 4 (Ann Rule's Crime Files),4.14
41385,451203267,The Stranger Beside Me,4.14
41388,671001132,DEAD BY SUNSET : DEAD BY SUNSET,4.14
41391,671793535,A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files),4.14
41394,671868691,Bitter Harvest,4.14
41397,671793543,You Belong to Me and Other True Cases (Ann Rule's Crime Files: Vol. 2),4.14
41400,671527886,POSSESSION,4.14
41403,671793578,The End Of The Dream The Golden Boy Who Never Grew Up : Ann Rules Crime Files Volume 5,4.14
41406,743448677,Without Pity : Ann Rule's Most Dangerous Killers,4.14
41409,451160436,I5 Killer,4.14
41412,451166876,Lust Killer (Signet True Crime S.),4.14
41415,451164938,Stranger Beside Me,4.14
41418,451165594,The I-5 Killer (Signet True Crime S.),4.14
41421,2253172677,Et ne jamais la laisser partir,4.14
41424,451166604,Small Sacrifices: A True Story of Passion and Murder,4.14
41427,451167570,Possession,4.14
41430,671025333,Empty Promises,4.14
41433,743202988,Heart Full of Lies: A True Story of Desire and Death,4.14
41436,684810484,And Never Let Her Go : Thomas Capano: The Deadly Seducer,4.14
41439,451166884,The Want-Ad Killer,4.14
41442,393050297,The Stranger Beside Me: The Twentieth Anniversary Edition,4.14
41445,451154770,Lust Killer,4.14
41448,451155513,Want Ad Killer,4.14
41451,451137116,Stranger Beside Me,4.14
41454,684810476,BITTER HARVEST : A WOMANS FURY A MOTHERS SACRIFICE,4.14
41457,453005403,Small Sacrifices: A True Story of Passion and Murder,4.14
41460,671690701,EVERYTHING SHE EVER WANTED,4.14
41463,739439170,Without Pity: Ann Rule's Most Dangerous Killers,4.14
41466,451128966,Possession,4.14
41469,451158725,Stranger Beside Me,4.14
41472,B00016560C,Without Pity: Ann Rule's Most Dangerous Killers,4.14
41475,671688359,IF YOU REALLY LOVED ME,4.14
41478,451164962,Lust Killer,4.14
41481,B00016560M,Without Pity: Ann Rule's Most Dangerous Killers,4.14
41484,1568656335,In the Name of Love,4.14
41487,451165608,Possession,4.14
41490,743527569,Everything She Ever Wanted,4.14
41493,073941478X,Empty Promises (Ann Rule's Crime Files: Vol 7),4.14
41496,345369947,The Mummy or Ramses the Damned,3.75
41502,3442098424,Der FÃ?Â¼rst der Finsternis. Roman.,3.75
41508,345422392,Vittorio the Vampire: New Tales of the Vampires,3.75
41514,345367898,Witching Hour (Lives of the Mayfair Witches),3.75
41520,375411992,Blackwood Farm (The Vampire Chronicles),3.75
41526,345422384,Pandora: New Tales of the Vampires (New Tales of the Vampires),3.75
41532,345337662,Interview with the Vampire,3.75
41538,345351525,The Queen of the Damned (Vampire Chronicles (Paperback)),3.75
41544,034538475X,The Tale of the Body Thief (Vampire Chronicles (Paperback)),3.75
41550,345334531,Feast of All Saints,3.75
41556,515093556,Belinda,3.75
41562,679405283,The Tale of the Body Thief (Vampire Chronicles),3.75
41568,345396936,Cry to Heaven,3.75
41574,679454489,Merrick (Vampire Chronicles),3.75
41580,679433023,Violin,3.75
41586,679412956,Lasher,3.75
41592,345389417,Servant of the Bones,3.75
41598,345404319,Taltos: Lives of the Mayfair Witches,3.75
41604,679433015,Servant of the Bones,3.75
41610,345401964,Exit to Eden,3.75
41616,067942573X,Taltos: Lives of the Mayfair Witches,3.75
41622,345422406,Merrick (Vampire/Witches Chronicles),3.75
41628,3442442532,Falsetto.,3.75
41634,375401601,Vittorio the Vampire: New Tales of the Vampires,3.75
41640,345389425,Violin,3.75
41646,679454497,Blood and Gold (Vampire Chronicles),3.75
41652,345377648,Lasher (Lives of the Mayfair Witches),3.75
41658,345373707,Cry to Heaven,3.75
41664,345397819,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),3.75
41670,679438335,Servant of the Bones,3.75
41676,375416218,Merrick (Vampire Chronicles),3.75
41682,8477226776,La Hora de Las Brujas,3.75
41688,345425308,Violin,3.75
41694,679460381,Violin,3.75
41700,345376048,The Feast of All Saints,3.75
41706,844065880X,La Momia,3.75
41712,449210634,Feast of All Saints,3.75
41718,345310594,Interview with the Vampire,3.75
41724,8448040023,Lestat el Vampiro,3.75
41730,3442430534,Interview Mit Einem Vampir,3.75
41736,345360001,The Mummy or Ramses the Damned,3.75
41742,345362608,Queen of the Damned,3.75
41748,99271087,Pandora (New Tales of the Vampires),3.75
41754,8440641494,Entrevista con el vampiro,3.75
41760,394556178,Interview With the Vampire,3.75
41766,1558171053,Cry to Heaven,3.75
41772,877958262,Belinda,3.75
41778,2266032119,Lestat Le Vampire/the Vampire Lestat,3.75
41784,8466302948,Pandora,3.75
