,ISBN,bookTitle,yearOfPublication,publisher
63011,836204255,The Far Side Gallery 5,1995,Andrews McMeel Publishing
63012,836213068,Far Side Gallery 5,0,Andrews Mcmeel
63013,006019104X,There's a Hair in My Dirt!: A Worm's Story,1998,HarperCollins Publishers
63014,836212002,The Far Side,1982,Andrews McMeel Publishing
63015,740721135,The Complete Far Side,2003,Andrews McMeel Publishing
63016,590479865,Far Side Gallery 4,0,Scholastic Inc
63017,590447386,Wiener Dog Art,0,Scholastic Inc
63018,140099832,Lake Wobegon Days,1990,Penguin/Puffin Mass Market (Mm)
63019,451821971,Leaving Home,1988,New Amer Library
63020,1565115228,Pretty Good Joke Book: A Prairie Home Companion (Prairie Home Companion),2001,Highbridge Audio
63021,140131566,We Are Still Married: Stories and Letters,1990,Penguin Books
63022,670878073,Wobegon Boy,1997,Viking Books
63023,140092323,Lake Wobegon days,1986,Penguin Books
63024,670818577,Wlt: A Radio Romance,1991,Penguin USA
63025,140131612,Lake Wobegon Days (Wisconsin),1995,Penguin Books
63026,067084943X,The Book of Guys: Stories,1993,Penguin USA
63027,067081976X,Leaving Home/a Collection of Lake Wobegon Stories,1987,Penguin USA
63028,670826472,We Are Still Married: Stories and Letters,1989,Penguin USA
63029,067088796X,Me: by Jimmy (Big Boy) Valente,1999,Viking Books
63030,140274782,Wobegon Boy,1998,Penguin Books
63031,140131604,Leaving Home,1992,Penguin Books
63032,816148708,We Are Still Married: Stories and Letters (G.K. Hall Large Print Book Series),1990,Thorndike Pr
63033,140064826,Happy to be here,1983,Penguin Books
63034,670030031,Lake Wobegon: Summer 1956,2001,Viking Books
63035,942110048,News from Lake Wobegon,1986,Highbridge Audio
63036,670032468,Love Me,2003,Viking Books
63037,670805149,Lake Wobegon Days,1985,Penguin USA
63038,5552022920,Leaving Home,1987,Viking Books
63039,942110781,More News from Lake Wobegon (More News from Lake Wobegon),1991,Highbridge Audio
63040,140092315,Happy to Be Here,1986,Select Penguin
63041,670031267,Good Poems,2002,Viking Books
63042,142000930,Lake Wobegon Summer 1956,2002,Penguin Books
63043,140103805,Wlt: A Radio Romance,1992,Penguin Books
63044,689112017,Happy to Be Here,1982,Simon  Schuster
63045,142003441,Good Poems,2003,Penguin Books
63046,395875145,The Best American Short Stories 1998 (Serial),1998,Houghton Mifflin
63047,057116577X,Radio Romance,1992,Faber and Faber Ltd
63048,571146333,Lake Wobegone Days,1986,Faber and Faber Ltd
63050,571210244,Lake Wobegon Summer 1956,2002,Faber and Faber Ltd
63051,571166849,Radio Romance,1992,Faber and Faber Ltd
63052,140129189,Lake Wobegon Days,1986,Penguin Books
63053,057116904X,Radio Romance,0,Faber Faber Inc
63054,896216861,Lake Wobegon Days,1986,Thorndike Press
63055,140233725,The Book of Guys: Stories,1994,Penguin Books
63056,1565116941,Good Poems,2002,Highbridge Audio
63057,571165761,Radio Romance,1992,Faber and Faber Ltd
63058,140131825,Happy to Be Here,1990,Penguin Books
63059,395875153,The Best American Short Stories 1998 (Serial),1998,Houghton Mifflin Company
63060,670033650,Homegrown Democrat: A FewPlain Thoughts From the Heart of America,2004,Viking Books
63061,571200486,Lake Wobegon Days,0,Faber Faber Inc
63062,3552052046,Es kÃ?Â¶nnte schlimmer sein.,2002,Zsolnay
63063,670820121,Leaving home,1987,Viking
63064,942110595,Local Man Moves to the City,1991,Highbridge Audio
63065,553052845,Rubyfruit Jungle,1988,Bantam Dell Pub Group
63068,553240307,Sudden Death,1984,Bantam Doubleday Dell
63071,553378260,Rita Will: Memoir of a Literary Rabble-Rouser,1999,Bantam
63074,345428196,Outfoxed,2000,Ballantine Books
63077,055327886X,Rubyfruit Jungle,1983,Bantam Books
63080,553107380,Pawing Through the Past (Mrs. Murphy Mysteries (Hardcover)),2000,Bantam Books
63083,553572245,Riding Shotgun,1997,Bantam Books
63086,3499136457,Venusneid.,1995,Rowohlt Tb.
63089,553380400,Bingo,1999,Bantam
63092,3499225964,Herz Dame sticht. Ein Fall fÃ?Â¼r Mrs. Murphy.,1999,Rowohlt Tb.
63095,3499121581,Rubinroter Dschungel.,1987,Rowohlt Tb.
63098,055356949X,Dolley: A Novel of Dolley Madison in Love and War,1995,Bantam Books
63101,553380672,Loose Lips,2000,Bantam
63104,553580280,Catch As Cat Can,2003,Bantam Books
63110,553261258,High Hearts,1987,Bantam Books
63113,553269291,Rubyfruit Jungle,1983,Bantam Books
63116,553282204,Bingo,1989,Bantam Books
63119,553107437,Claws and Effect,2001,Bantam Books
63122,553238132,Rubyfruit Jungle,1999,Bantam Books
63125,553231081,Southern Discomfort,1983,Bantam Books
63128,553052462,Starting from Scratch: A Different Kind of Writers' Manual,1988,Bantam Dell Pub Group
63131,3499121956,Jacke wie Hose. Roman.,1987,Rowohlt Tb.
63134,553269305,Sudden Death,1984,Bantam Books
63137,553564978,Venus Envy,1996,Bantam Books
63140,553278886,High Hearts,1987,Bantam Books
63143,055305306X,Bingo,1988,Bantam Dell Pub Group
63146,345455320,Alma Mater,2002,Ballantine Books
63149,055309971X,Cat on the Scent,1999,Bantam
63152,3499263378,Galopp ins GlÃ?Â¼ck.,2001,Rowohlt TB-V. Rnb.
63155,553278878,Six of One,1983,Bantam Books
63158,553058819,Wish You Were Here,1990,Bantam Dell Pub Group
63161,345428188,Outfoxed,2000,Ballantine Books
63164,553091999,Venus Envy,1993,Bantam Dell Pub Group
63167,553274465,Southern Discomfort,1983,Bantam Books
63170,553099728,Loose Lips,1999,Bantam
63173,3548255523,Rache auf leisen Pfoten. Ein Fall fÃ?Â¼r Mrs. Murphy.,2003,Ullstein Tb
63176,3499137461,Ruhe in Fetzen. Ein Fall fÃ?Â¼r Mrs. Murphy.,1996,Rowohlt Tb.
63179,553275739,In Her Day,1988,Bantam Books
63182,3550084064,Die Katze lÃ?Â¤sst das Mausen nicht.,2003,Ullstein Buchverlage GmbH  Co. KG / Ullstein Tas
63185,553111477,Rubyfruit Jungle,0,Bantam Doubleday Dell
63188,553237683,Six of One,1983,Bantam Doubleday Dell
63191,553051202,High Hearts,1986,Bantam Dell Pub Group
63194,3499123940,Die Tennisspielerin. Roman.,1988,Rowohlt Tb.
63197,553077287,Rest in Pieces,1992,Bantam Dell Pub Group
63200,553088904,Dolley: A Novel of Dolley Madison in Love and War,1994,Bantam Dell Pub Group
63203,553050370,Sudden Death,1983,Bantam Dell Pub Group
63206,553127993,Six of one,1979,Bantam Books
63209,3499230283,Die Katze riecht Lunte. Ein Fall fÃ?Â¼r Mrs. Murphy.,2001,Rowohlt Tb.
63212,3499223600,Virus im Netz. Ein Fall fÃ?Â¼r Mrs. Murphy.,1998,Rowohlt Tb.
63215,553099736,Rita Will: Memoir of a Literary Rabble-Rouser,1997,Bantam
63218,553099701,Murder on the Prowl (Mrs. Murphy Mysteries (Hardcover)),1998,Bantam Dell Pub Group
63221,553096052,Riding Shotgun,1996,Bantam
63224,553081403,Murder at Monticello or Old Sins,1994,Bantam Dell Pub Group
63227,60149280,Southern Discomfort,1982,Harpercollins Publisher
63230,3548254179,Goldene Zeiten.,2002,Ullstein Tb
63233,3550083688,Alma Mater.,2002,Ullstein Buchverlage GmbH  Co. KG / Ullstein Tas
63236,553269747,Six of One,1983,Bantam Doubleday Dell
63242,349922691X,Rubinrote Rita. Eine Autobiographie.,2000,Rowohlt Tb.
63245,60105240,Six of one,1978,Harper  Row
63248,439404371,The Thief Lord,2002,Scholastic
63254,043942089X,The Thief Lord,2003,Chicken House
63260,439531640,Inkheart,2003,Chicken House
63272,379150455X,Igraine Ohnefurcht. ( Ab 10 J.).,1998,Dressler Verlag
63278,807209767,The Thief Lord,2002,Listening Library
63284,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,1997,Riverhead Books
63288,1573222127,Miracle at St. Anna,2002,Riverhead Books
63292,1573229717,Miracle at St. Anna,2003,Riverhead Books
63296,340823186,Miracle at Sant'Anna,2003,Hodder  Stoughton General Division
63300,1573220221,The Color of Water: A Black Man's Tribute to His White Mother,1996,Riverhead Books
63304,342661278X,Die Farbe von Wasser. Erinnerungen,2001,Droemer Knaur
63308,380754843,Wayside School is Falling Down,1990,HarperTrophy
63316,590424165,Sideways Arithmetic from Wayside School,1989,Scholastic Paperbacks
63320,688160867,Sideways Stories from Wayside School,1998,HarperCollins
63324,380698714,Sideways Stories from Wayside School (Wayside School),1985,HarperTrophy
63328,590477625,More Sideways Arithmetic from Wayside School,1995,Scholastic
63332,590457268,Sideways Arithmetic from Wayside School,1997,Scholastic
63336,807281530,Wayside School Gets a Little Stranger,1999,Listening Library
63340,380723816,Wayside School Gets a Little Stranger (Wayside School),1996,HarperTrophy
63344,440419476,Stanley Yelnats's Survival Guide to Camp Green Lake,2003,Yearling Books
63348,380834448,Someday Angeline (Avon/Camelot Book),1983,HarperTrophy
63352,747546487,Holes,2000,Bloomsbury Pub Ltd
63356,380731487,Sideways Stories from Wayside School,1998,HarperTrophy
63360,590460757,Sixth Grade Secrets,1994,Scholastic
63364,3407808674,LÃ?Â¶cher,2000,Beltz
63368,380731509,Wayside School is Falling Down,1998,HarperTrophy
63372,067980160X,The Boy Who Lost His Face,1991,Random House Childrens Pub
63376,068813694X,Wayside School Gets a Little  Stranger,1995,HarperCollins
63380,590404091,Sixth Grade Secrets,1989,Scholastic Paperbacks (T)
63384,3407785682,LÃ?Â¶cher. Die Geheimnisse von Green Lake. ( Ab 12 J.).,2003,Beltz
63388,2211052878,Le Passage,2002,Distribooks
63392,3464310515,Holes. (Lernmaterialien),2002,Cornelsen
63396,3446201181,Der Fluch des David Ballinger. ( Ab 11 J.).,2002,Hanser Belletristik
63400,080728162X,Holes (Unicorn Chronicles),1999,Listening Library
63404,380834510,Johnny's in the Basement (An Avon Camelot Book),1983,Avon
63408,380731495,Wayside School Gets a Little Stranger (rack rpkg) (Wayside School),1998,HarperTrophy
63412,613000943,Sixth Grade Secrets,1999,Sagebrush Bound
63416,425050807,Beneath an Opal Moon,1982,Berkley Publishing Group
63417,312872356,The Ring of Five Dragons,2001,Tor Books
63418,449202704,Black Heart,1984,Fawcett Books
63419,871313146,The Ninja: A Novel,1980,Natl Book Network
63420,449245101,Sirens,1982,Fawcett Books
63421,671898574,Floating City,1994,Pocket Books
63422,312331754,Robert Ludlum's The Bourne Legacy,2004,St. Martin's Press
63423,671537822,Second Skin: Export Edition,1996,Pocket Books
63424,3453152131,WeiÃ?Â?er Engel.,1999,Heyne
63425,449219720,White Ninja-Open Mkt,1990,Fawcett Books
63426,449200604,Ninja,1981,Fawcett Books
63427,449217817,French Kiss-Open Mrkt,1989,Fawcett Books
63428,067163884X,THIS HALLOWED GRND,1986,Pocket
63430,828103054,The Civil War (American Heritage Library),1985,Mariner Books
63432,517294095,Civil War,1986,Random House Value Publishing
63434,1842122916,Phoenix: Never Call Retreat: Volume Three in the American Civil War Trilogy,2001,Sterling Publishing
63436,1842122932,Phoenix: Terrible Swift Sword: Volume Two in the American Civil War Trilogy,2001,Phoenix Press (UK)
63438,1842122924,Phoenix: The Coming Fury: Volume One in the American Civil War Trilogy,2001,Phoenix Press (UK)
63440,425104958,Reflections on the Civil War,1987,Berkley Publishing Group
63442,425141411,Reflections on the Civil War,1994,Berkley Pub Group
63444,440301238,AMER HERIT CIVIL WAR,1982,Laurel
63446,670868043,The American Heritage New History of the Civil War: New History of the Civil War,1996,Viking Books
63448,883940701,Bruce Catton's America: Selections from his Greatest Works,1993,BBS Publishing Corporation
63450,517447711,Bruce Cattons Civil War : 3 Volumes,1988,Random House Value Publishing
63452,671531433,STILLNESS APOMATOX,1984,Pocket
63454,425141462,John Ransom's Andersonville Diary/Life Inside the Civil War's Most Infamous Prison,1994,Berkley Publishing Group
63456,517385562,The American Heritage Picture History of the Civil War,1990,Random House Value Publishing
63458,844665509,A Stillness at Appomattox,1992,Peter Smith Publisher Inc
63460,1853266965,This Hallowed Ground: The Story of the Union Side of the Civil War (Wordsworth Military Library),1998,Combined Publishing
63462,553140434,Miracle Worker,1981,Bantam Books
63468,441117732,Count Zero (Ace Science Fiction),1987,Ace Books
63474,425158640,Idoru,1997,Berkley Publishing Group
63480,399145796,All Tomorrow's Parties,1999,Putnam Pub Group
63486,441007554,All Tomorrow's Parties,2000,Ace Books
63492,441569595,Neuromancer (Remembering Tomorrow),1995,Ace Books
63498,553281747,Mona Lisa Overdrive (Bantam Spectra Book),1989,Bantam
63504,8445070843,Neuromante - Tapa Dura -,1995,Minotauro
63510,3453164105,Die Neuromancer- Trilogie.,2000,Heyne
63516,441089348,Burning Chrome (Ace Science Fiction),1994,Ace Books
63522,2277223255,Neuromancien,1998,Editions 84
63528,425190447,All Tomorrow's Parties,2003,Berkley Publishing Group
63534,441007465,Neuromancer (Ace Science Fiction),2000,Ace Books
63540,399149864,Pattern Recognition,2003,G. P. Putnam's Sons
63546,553074997,Virtual Light (Bantam Spectra Book),1993,Bantam Dell Pub Group
63552,425192938,Pattern Recognition,2004,Berkley Publishing Group
63558,399141308,Idoru,1996,Putnam Publishing Group
63564,553247786,Miracle Worker,1984,Bantam Books
63570,553070282,The Difference Engine,1991,Bantam Dell Pub Group
63576,3453056655,Neuromancer. Roman.,1992,Heyne
63582,441000681,Neuromancer,1994,Ace Books
63588,425120163,William Gibson's Neuromancer: The Graphic Novel,1989,Berkley Pub Group
63594,553052500,Mona Lisa Overdrive (Bantam Spectra Book),1988,Bantam Dell Pub Group
63600,441569579,Neuromancer,1984,Ace Books
63606,8445072862,Conde Cero,1998,Minotauro
63612,345305380X,Die Differenz Maschine. Roman.,1992,Heyne
63618,399142258,Idoru,1996,Putnam Publishing Group
63624,8445072773,Idoru,1999,Minotauro
63630,670857785,Idoru Uk Edition,0,Penguin Putnam~childrens Hc
63636,3453863275,Virtuelles Licht.,2002,Heyne
63642,60539828,Burning Chrome,2003,Eos
63648,441569587,Neuromancer,1985,Ace Books
63654,3453009932,Cyberspace. ErzÃ?Â¤hlungen.,1988,Heyne
63660,3453156366,Idoru.,1999,Heyne
63666,743457587,The Miracle Worker,2002,Pocket
63672,385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),2002,Delta
63677,385336179,Shopaholic Ties the Knot,2003,Delta
63682,385336810,Can You Keep a Secret?,2004,Dial Books
63687,3442454034,Fast geschenkt.,2003,Goldmann
63692,3442452864,Die SchnÃ?Â¤ppchenjÃ?Â¤gerin.,2002,Goldmann
63697,1402536038,Confessions of a Shopaholic,2003,Recorded Books
63702,068986020X,Gingerbread,2003,Simon Pulse
63706,689843372,Gingerbread,2002,Simon  Schuster Children's Publishing
63710,689852053,Pop Princess,2004,Simon  Schuster Children's Publishing
63714,671568809,Strange Memories The Nancy Drew Files 122 (Nancy Drew Files (Paperback)),1997,Simon Pulse
63718,448095300,The Clue of the Velvet Mask (Nancy Drew (Hardcover)),1953,Grosset  Dunlap
63722,20083513,BATTLE OF THE TITANS,1991,Scribner Paper Fiction
63726,671881957,KISS AND TELL (NANCY DREW FILES 104) : KISS AND TELL,1995,Simon Pulse
63730,671881965,STOLEN AFFECTIONS (NANCY DREW FILES 105) : STOLEN AFFECTIONS,1995,Simon Pulse
63734,671881981,ANYTHING FOR LOVE (NANCY DREW FILES 107) : ANYTHING FOR LOVE (Nancy Drew Files (Paperback)),1995,Simon Pulse
63738,671881930,COUNTERFEIT CHRISTMAS (NANCY DREW FILES 102) : COUNTERFEIT CHRISTMAS (Nancy Drew Files (Paperback)),1994,Simon Pulse
63742,671881949,HEART OF ICE (NANCY DREW FILES 103) : HEART OF ICE (Nancy Drew Files (Paperback)),1995,Simon Pulse
63746,671879464,The Lost Locket (Nancy Drew Notebook 2) : The Lost Locket,1994,Aladdin
63750,671879510,TROUBLE AT CAMP TREEHOUSE (NANCY DREW NOTEBOOK 7) : TROUBLE AT CAMP TREEHOUSE,1995,Aladdin
63754,671955128,TRIPLE HAOX   ND (Nancy Drew (Paperback)),1979,Aladdin
63758,743437616,The Crook Who Took the Book,2002,Aladdin
63762,743437675,The Sand Castle Mystery (Nancy Drew Notebooks No. 49),2002,Aladdin
63766,671001205,The WILD CAT CRIME NANCY DREW DIGEST 141,1998,Aladdin
63770,743406648,Flower Power (Nancy Drew Notebooks No. 41),2001,Aladdin
63774,743437470,The Crazy Carnival Case (Nancy Drew Notebooks No. 48),2002,Aladdin
63778,671000500,The WEDDING DAY MYSTERY NANCY DREW 136,1997,Aladdin
63782,671464612,BROKEN ANCHOR ND P (Nancy Drew (Paperback)),1983,Aladdin
63786,671568051,GOING HOME NANCY DREW ON CAMPUS 16,1996,Simon Pulse
63790,671002112,LOVE ON LINE NANCY DREW ON CAMPUS 19,1997,Simon Pulse
63794,671730886,CHOOSING SIDES (NANCY DREW FILES 84) : CHOOSING SIDES (Nancy Drew Files),1993,Simon Pulse
63798,671794795,MOVING TARGET (NANCY DREW FILES 87) : MOVING TARGET (Nancy Drew Files (Paperback)),1993,Simon Pulse
63802,000692347X,The Clue of the Broken Locket (The Nancy Drew Mysteries),1988,HarperCollins Publishers
63806,671007343,AT ALL COSTS NANCY DREW HARDY BOYS SUPERMYSTERY,1997,Simon Pulse
63810,671502948,ISLANDS OF INTRIGUE (NANCY DREW HARDY BOY SUPERMYSTERY 27) (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1996,Simon Pulse
63814,671042696,Candy Is Dandy (Nancy Drew Notebooks No. 38),2000,Aladdin
63818,671730509,MYSTERY OF THE JADE TIGER (NANCY DREW 104) : MYSTERY OF THE JADE TIGER,1991,Aladdin
63822,671730541,SECRET OF THE TIBETAN TREASURE (NANCY DREW 108) : SECRET OF THE TIBETAN TREASURE (NANCY DREW ON CAMPUS),1992,Aladdin
63826,044809519X,The Quest of the Missing Map (Nancy Drew (Hardcover)),1969,Grosset  Dunlap
63830,671646990,HIGH MARKS FOR MALICE NANCY DREW #32 (The Nancy Drew Files Case 32),1989,Simon Pulse
63834,671000527,The SECRET OF CANDLELIGHT INN NANCY DREW 139,1997,Aladdin
63838,671019295,The NANCY DREW FILES COLLECTORS EDITION : 42 THE WRONG CHEMISTRY 45 OUT OF BOUNDS 47 FLIRTING WITH DANGER (Nancy Drew Files),1998,Simon Pulse
63842,067164193X,Secrets Can Kill (Nancy Drew Files (Paperback)),1986,Pocket Books
63846,067163822X,The SECRET OF THE OLD LACE NANCY DREW #59 (Nancy Drew (Paperback)),1987,Aladdin
63850,671505106,The Fox Hunt Mystery (Nancy Drew),1996,Aladdin
63854,671505165,The SECRET OF THE FORGOTTEN CAVE NANCY DREW 134,1996,Aladdin
63858,743437632,Bike Tour Mystery (Nancy Drew),2002,Aladdin
63862,743437489,The Case of the Creative Crime,2002,Aladdin
63866,743406877,Lost in the Everglades (Nancy Drew),2001,Aladdin
63870,743406893,The Clues Challenge (Nancy Drew),2001,Aladdin
63874,671731254,SPIES AND LIES (NANCY DREW HARDY BOY SUPERMYSTERY ) : SPIES AND LIES (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1992,Simon Pulse
63878,671674668,HIGH SURVIVAL (NANCY DREW HARDY BOY SUPERMYSTERY ) : HIGH SURVIVAL (Nancy Drew and Hardy Boys Supermystery),1991,Simon Pulse
63882,671781685,COURTING DISASTER (NANCY DREW HARDY BOY SUPERMYSTERY 15) : COURTING DISASTER (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1993,Simon Pulse
63886,671674633,BURIED IN TIME (NANCY DREW HARDY BOY SUPERMYSTERY 7) : BURIED IN TIME (Nancy Drew and Hardy Boys Super Mystery),1990,Simon Pulse
63890,671008188,Alien In The Classroom The Nancy Drew Notebooks 23,1998,Aladdin
63894,671879502,The ICE CREAM SCOOP (NANCY DREW NOTEBOOK 6) : THE ICE CREAM SCOOP,1995,Aladdin
63898,671879480,BAD DAY FOR BALLET (NANCY DREW NOTEBOOK 4) : BAD DAY FOR BALLET,1995,Aladdin
63902,671008153,PRINCESS ON PARADE NANCY DREW NOTEBOOKS 21 (Nancy Drew Notebooks),1997,Aladdin
63906,671879456,The SLUMBER PARTY SECRET (NANCY DREW NOTEBOOK 1) : THE SLUMBER PARTY SECRET,1994,Aladdin
63910,671568604,The SKI SLOPE MYSTERY NANCY DREW NOTEBOOKS 16,1997,Aladdin
63914,671000489,The Riddle Of The Ruby Gazelle Nancy Drew 135,1997,Aladdin
63918,671502956,Murder of the Fourth of July,1996,Simon Pulse
63922,671634135,The Case of the Vanishing Veil (Nancy Drew),1988,Aladdin
63926,671700367,HIGH RISK (NANCY DREW FILES 59) : HIGH RISK (Nancy Drew Files No. 59),1991,Simon Pulse
63930,671550462,ESKIMO SEC    ND P (Messner Holiday Library),1985,Aladdin
63934,671674625,PARIS CONNECTION - NANCY DREW AND HARDY BOYS SUPERMYSTERY #6 (Nancy Drew &amp; Hardy Boys Supermystery),1990,Simon Pulse
63938,067174674X,SECRETS CAN KILL (NANCY DREW FILES 1) : SECRETS CAN KILL (Nancy Drew Files),1991,Simon Pulse
63942,671647008,DANGER IN DISGUISE NANCY DREW # 33 (Nancy Drew Files Case 33),1989,Simon Pulse
63946,671630792,Two Points to Murder (Nancy Drew Files (Paperback)),1987,Pocket Books
63950,671702890,HIT AND RUN HOLIDAY (ND #5) (Nancy Drew Files (Paperback)),1989,Simon Pulse
63954,671687271,DEADLY INTENT (ND #2) (Nancy Drew Files (Paperback)),1989,Simon Pulse
63958,671685236,SECRETS CAN KILL (ND #1) (Nancy Drew Files (Paperback)),1989,Simon Pulse
63962,671794914,The CHEATING HEART (NANCY DREW FILES 99) : THE CHEATING HEART,1994,Simon Pulse
63966,448095076,The Clue in the Diary (Nancy Drew Mystery Stories Number 7),1932,Imagination Studio
63970,671649191,SHOCK WAVES NANCY DREW&amp; HARDY BOYS SUPERMYSTERY #3 (Nancy Drew/Hardy Boys Super Mystery),1989,Simon Pulse
63974,671007378,OPERATION TITANIC NANCY DREW HARDY BOYS SUPERMYSTERY 35 (NANCY DREW/HARDY BOYS),1998,Simon Pulse
63978,067174674x,SECRETS CAN KILL (NANCY DREW FILES 1) : SECRETS CAN KILL (Nancy Drew Files),1991,Simon Pulse
63982,6925979,The Spider Sapphire Mystery (The Nancy Drew Mysteries),1985,HarperCollins Publishers
63986,671537474,HIGH STAKES: NANCY DREW/HARDY BOYS SUPERMYSTERY #29 (NANCY DREW/HARDY BOYS),1996,Simon Pulse
63990,671956019,Nancy Drew #58 - The Flying Saucer Mystery,1980,Aladdin
63994,743406885,The Case of the Lost Song (Nancy Drew),2001,Aladdin
63998,067150293X,A Question of Guilt (Nancy Drew and Hardy Boys Supermystery),1996,Simon Pulse
64002,743423445,The Case of the Vanishing Veil (NANCY DREW ON CAMPUS),2001,Aladdin
64006,671038710,The Key in the Satin Pocket (NANCY DREW ON CAMPUS),2000,Aladdin
64010,671879499,The SOCCER SHOE CLUE (NANCY DREW NOTEBOOK 5) : THE SOCCER SHOE CLUE,1995,Aladdin
64014,671007548,The Missing Horse Mystery (NANCY DREW ON CAMPUS),1998,Aladdin
64018,671794922,DANCE TILL YOU DIE (NANCY DREW FILES 100) : DANCE TILL YOU DIE (Nancy Drew Files (Paperback)),1994,Simon Pulse
64022,671642812,BROKEN ANCHOR ND70 (Nancy Drew (Paperback)),1987,Aladdin
64026,671674900,The FINAL SCENE NANCY DREW FILES #38. (Nancy Drew Files Case No. 38),1989,Simon Pulse
64030,671731262,TROPIC OF FEAR (NANCY DREW HARDY BOY SUPERMYSTERY 14) : TROPIC OF FEAR (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),1992,Simon Pulse
64034,689855591,No Strings Attached,2003,Aladdin Library
64038,671730835,NO LAUGHING MATTER (NANCY DREW FILES 79) : NO LAUGHING MATTER (The Nancy Drew Files No. 79),1993,Simon Pulse
64042,942545257,Hit and Run Holiday (Nancy Drew Files),1988,Amer Reference Pub Co
64046,942545370,White Water Terror (Nancy Drew Series),1988,Amer Reference Pub Co
64050,671411144,SEC OLD LACE  ND P (Nancy Drew (Paperback)),1980,Aladdin
64054,067146468X,GHOST STORIES (NANCY DREW ) : GHOST STORIES,1983,Aladdin
64058,671641409,Never Say Die (Nancy Drew Files (Paperback)),1987,Pocket Books
64062,448095297,Mystery at the Ski Jump (Nancy Drew (Hardcover)),1968,Grosset  Dunlap
64066,671568612,WHOSE PET IS BEST NANCY DREW NOTEBOOKS 17,1997,Aladdin
64070,590324152,Nancy Drew Secret In the Old Lace,0,Scholastic Inc
64074,448028565,The Nancy Drew Cookbook: Clues to Good Cooking,1973,Grosset  Dunlap
64078,671881973,FLYING TOO HIGH (NANCY DREW FILES 106) : FLYING TOO HIGH (Nancy Drew Files (Paperback)),1995,Simon Pulse
64082,671731246,JUNIOR CLASS TRIP (RIVER HEIGHTS 20) : JUNIOR CLASS TRIP (River Heights Super Sizzler),1991,Simon Pulse
64086,671537482,OUT OF CONTROL NANCY DREW HARDY BOYS SUPERMYSTERY,1997,Simon Pulse
64090,1557091633,The Sign of the Twisted Candles (Nancy Drew Mystery Stories),1996,Applewood Books
64094,671793039,MYSTERY ON THE MENU (NANCY DREW FILES 117) : MYSTERY ON THE MENU (NANCY DREW ON CAMPUS),1994,Aladdin
64098,1557091552,The Secret of the Old Clock (Nancy Drew Mystery Stories),1991,Applewood Books
64102,448095343,The Hidden Window Mystery (Nancy Drew (Hardcover)),1975,Grosset  Dunlap
64106,448095262,Clue of the Leaning Chimney (Nancy Drew (Hardcover)),1949,Grosset  Dunlap
64110,671505009,The CASE OF THE DANGEROUS SOLUTION (NANCY DREW 127) : THE CASE OF THE DANGEROUS SOLUTION,1995,Aladdin
64114,671505084,The SIGN OF THE FALCON (NANCY DREW 130) : THE SIGN OF THE FALCON (NANCY DREW ON CAMPUS),1996,Aladdin
64118,448095467,The Invisible Intruder (Nancy Drew (Hardcover)),1969,Grosset  Dunlap
64122,448095289,Clue of the Black Keys (Nancy Drew (Hardcover)),1951,Grosset  Dunlap
64126,6934854,The Sign of the Twisted Candles (Nancy Drew),1991,HarperCollins Publishers
64130,671568639,The LEMONADE RAID THE NANCY DREW NOTEBOOKS 19,1997,Aladdin
64134,448095181,Mystery of the Moss-Covered Mansion. (Nancy Drew (Hardcover)),1971,Grosset  Dunlap
64138,448095165,The Clue of the Tapping Heels (Nancy Drew (Hardcover)),1970,Grosset  Dunlap
64142,671007491,CRIME AT THE CH T CAFE NANCY DREW FILES 124 (Nancy Drew Files (Paperback)),1997,Simon Pulse
64146,671649205,Dangerous Games (A Nancy Drew &amp; Hardy Boys Super Mystery),1989,Simon Pulse
64150,448195119,The Clue of the Broken Locket (Her Nancy Drew Mystery Stories),1965,Price Stern Sloan Pub
64154,671002155,OTHERWISE ENGAGED NANCY DREW ON CAMPUS 23,1997,Simon Pulse
64158,743406923,The Purple Fingerprint,2001,Aladdin
64162,671730851,MAKING WAVES (NANCY DREW FILES 81) : MAKING WAVES (Nancy Drew Files),1993,Simon Pulse
64166,671645854,Smile and Say Murder (Nancy Drew Files (Paperback)),1986,Pocket Books
64170,6928110,The Double Jinx Mystery (The Nancy Drew Mysteries),1987,HarperCollins Publishers
64174,6925200,The Clue in the Old Stagecoach (The Nancy Drew Mysteries),1988,HarperCollins Publishers
64178,6928137,Secret of Forgotten City (Nancy Drew Mysteries),1987,HarperCollins Publishers
64182,6928145,The Strange Message in the Parchment (The Nancy Drew Mysteries),1988,HarperCollins Publishers
64186,067188462X,Target for Terror (A Nancy Drew and Hardy Boys Super Mystery),1995,Simon Pulse
64190,448090848,Mystery of the wax queen (The Dana girls mystery stories ; 4),1972,Grosset  Dunlap
64194,671643878,The Double Horror of Fenley Place (Nancy Drew),1987,Aladdin
64198,671042629,The Legend of the Emerald Lady (NANCY DREW ON CAMPUS),2000,Aladdin
64202,671691325,Ghost Stories (Nancy Drew ) (NANCY DREW ON CAMPUS),1989,Aladdin
